DATE,BAMLHYH0A0HYM2TRIV
2014-04-01,1054.03
2014-04-02,1054.19
2014-04-03,1054.56
2014-04-04,1055.69
2014-04-07,1055.73
2014-04-08,1055.71
2014-04-09,1056.31
2014-04-10,1057.35
2014-04-11,1055.94
2014-04-14,1056.59
2014-04-15,1056.81
2014-04-16,1057.01
2014-04-17,1056.83
2014-04-21,1057.47
2014-04-22,1057.85
2014-04-23,1058.33
2014-04-24,1058.93
2014-04-25,1058.84
2014-04-28,1059.20
2014-04-29,1059.63
2014-04-30,1060.53
2014-05-01,1061.01
2014-05-02,1061.48
2014-05-05,1061.90
2014-05-06,1062.64
2014-05-07,1063.16
2014-05-08,1064.17
2014-05-09,1064.48
2014-05-12,1065.48
2014-05-13,1066.35
2014-05-14,1067.15
2014-05-15,1066.72
2014-05-16,1066.84
2014-05-19,1067.52
2014-05-20,1068.02
2014-05-21,1067.62
2014-05-22,1067.42
2014-05-23,1067.42
2014-05-26,1068.01
2014-05-27,1068.60
2014-05-28,1069.30
2014-05-29,1070.06
2014-05-30,1071.08
2014-05-31,1071.20
2014-06-02,1071.80
2014-06-03,1071.46
2014-06-04,1071.54
2014-06-05,1072.48
2014-06-06,1074.07
2014-06-09,1075.37
2014-06-10,1076.02
2014-06-11,1076.05
2014-06-12,1076.40
2014-06-13,1076.56
2014-06-16,1077.35
2014-06-17,1077.68
2014-06-18,1077.85
2014-06-19,1079.34
2014-06-20,1080.27
2014-06-23,1081.04
2014-06-24,1081.15
2014-06-25,1080.34
2014-06-26,1080.27
2014-06-27,1080.18
2014-06-30,1080.26
2014-07-01,1080.59
2014-07-02,1080.62
2014-07-03,1080.65
2014-07-04,1080.85
2014-07-07,1081.39
2014-07-08,1081.11
2014-07-09,1080.77
2014-07-10,1078.55
2014-07-11,1078.86
2014-07-14,1079.47
2014-07-15,1078.25
2014-07-16,1077.26
2014-07-17,1075.28
2014-07-18,1073.50
2014-07-21,1073.07
2014-07-22,1074.22
2014-07-23,1075.44
2014-07-24,1075.92
2014-07-25,1075.51
2014-07-28,1075.42
2014-07-29,1074.37
2014-07-30,1072.58
2014-07-31,1065.97
2014-08-01,1060.25
2014-08-04,1061.46
2014-08-05,1064.25
2014-08-06,1063.07
2014-08-07,1065.11
2014-08-08,1064.83
2014-08-11,1068.20
2014-08-12,1069.74
2014-08-13,1072.54
2014-08-14,1074.85
2014-08-15,1076.09
2014-08-18,1077.88
2014-08-19,1079.08
2014-08-20,1079.68
2014-08-21,1080.08
2014-08-22,1080.18
2014-08-25,1080.97
2014-08-26,1081.42
2014-08-27,1081.67
2014-08-28,1081.81
2014-08-29,1081.98
2014-08-31,1082.17
2014-09-01,1082.37
2014-09-02,1081.96
2014-09-03,1081.09
2014-09-04,1079.53
2014-09-05,1077.24
2014-09-08,1077.51
2014-09-09,1075.87
2014-09-10,1072.47
2014-09-11,1071.06
2014-09-12,1070.41
2014-09-15,1069.98
2014-09-16,1068.85
2014-09-17,1069.98
2014-09-18,1071.80
2014-09-19,1072.69
2014-09-22,1071.97
2014-09-23,1069.23
2014-09-24,1066.49
2014-09-25,1062.42
2014-09-26,1058.23
2014-09-29,1055.49
2014-09-30,1059.47
2014-10-01,1061.15
2014-10-02,1061.49
2014-10-03,1065.12
2014-10-06,1068.18
2014-10-07,1066.52
2014-10-08,1063.89
2014-10-09,1061.95
2014-10-10,1056.83
2014-10-13,1057.43
2014-10-14,1053.96
2014-10-15,1048.14
2014-10-16,1049.56
2014-10-17,1060.75
2014-10-20,1062.00
2014-10-21,1068.52
2014-10-22,1069.88
2014-10-23,1070.69
2014-10-24,1070.75
2014-10-27,1070.37
2014-10-28,1070.57
2014-10-29,1070.78
2014-10-30,1070.36
2014-10-31,1071.53
2014-11-03,1071.84
2014-11-04,1069.24
2014-11-05,1070.08
2014-11-06,1069.87
2014-11-07,1070.00
2014-11-10,1070.28
2014-11-11,1070.48
2014-11-12,1070.30
2014-11-13,1069.44
2014-11-14,1067.13
2014-11-17,1065.53
2014-11-18,1063.25
2014-11-19,1060.66
2014-11-20,1059.75
2014-11-21,1063.23
2014-11-24,1064.29
2014-11-25,1065.25
2014-11-26,1065.70
2014-11-27,1065.90
2014-11-28,1063.47
2014-11-30,1063.87
2014-12-01,1056.53
2014-12-02,1054.12
2014-12-03,1054.33
2014-12-04,1054.47
2014-12-05,1053.30
2014-12-08,1050.63
2014-12-09,1044.29
2014-12-10,1040.13
2014-12-11,1037.58
2014-12-12,1031.24
2014-12-15,1026.31
2014-12-16,1019.95
2014-12-17,1026.52
2014-12-18,1038.87
2014-12-19,1042.13
2014-12-22,1044.92
2014-12-23,1046.35
2014-12-24,1046.75
2014-12-26,1047.13
2014-12-29,1048.11
2014-12-30,1048.18
2014-12-31,1048.18
2015-01-02,1048.41
2015-01-05,1045.61
2015-01-06,1042.00
2015-01-07,1045.07
2015-01-08,1049.32
2015-01-09,1050.63
2015-01-12,1050.22
2015-01-13,1050.25
2015-01-14,1047.41
2015-01-15,1048.43
2015-01-19,1048.11
2015-01-20,1048.39
2015-01-21,1048.45
2015-01-22,1050.32
2015-01-23,1051.79
2015-01-26,1052.89
2015-01-27,1052.90
2015-01-28,1055.13
2015-01-29,1055.22
2015-01-30,1055.40
2015-01-31,1055.41
2015-02-02,1055.76
2015-02-03,1058.95
2015-02-04,1060.33
2015-02-05,1062.66
2015-02-06,1065.57
2015-02-09,1065.68
2015-02-10,1066.10
2015-02-11,1066.11
2015-02-12,1067.26
2015-02-13,1068.17
2015-02-16,1068.76
2015-02-17,1069.57
2015-02-18,1071.01
2015-02-19,1071.16
2015-02-20,1072.18
2015-02-23,1073.43
2015-02-24,1075.41
2015-02-25,1077.10
2015-02-26,1079.32
2015-02-27,1080.00
2015-02-28,1080.59
2015-03-02,1080.94
2015-03-03,1079.80
2015-03-04,1078.02
2015-03-05,1078.23
2015-03-06,1075.56
2015-03-09,1074.46
2015-03-10,1070.70
2015-03-11,1071.94
2015-03-12,1072.71
2015-03-13,1069.63
2015-03-16,1068.40
2015-03-17,1066.01
2015-03-18,1065.84
2015-03-19,1068.97
2015-03-20,1070.11
2015-03-23,1071.08
2015-03-24,1072.27
2015-03-25,1073.24
2015-03-26,1072.30
2015-03-27,1073.10
2015-03-30,1074.49
2015-03-31,1074.85
2015-04-01,1075.08
2015-04-02,1075.71
2015-04-06,1077.96
2015-04-07,1080.86
2015-04-08,1082.92
2015-04-09,1082.97
2015-04-10,1083.93
2015-04-13,1085.17
2015-04-14,1085.05
2015-04-15,1086.97
2015-04-16,1087.39
2015-04-17,1086.39
2015-04-20,1087.55
2015-04-21,1088.19
2015-04-22,1087.95
2015-04-23,1088.05
2015-04-24,1089.03
2015-04-27,1089.61
2015-04-28,1089.17
2015-04-29,1087.68
2015-04-30,1087.74
2015-05-01,1087.92
2015-05-04,1088.99
2015-05-05,1088.85
2015-05-06,1086.94
2015-05-07,1086.18
2015-05-08,1088.77
2015-05-11,1088.84
2015-05-12,1085.40
2015-05-13,1087.28
2015-05-14,1087.79
2015-05-15,1089.17
2015-05-18,1088.91
2015-05-19,1088.26
2015-05-20,1087.62
2015-05-21,1088.93
2015-05-22,1089.03
2015-05-26,1089.80
2015-05-27,1090.31
2015-05-28,1090.37
2015-05-29,1090.76
2015-05-31,1090.96
2015-06-01,1090.63
2015-06-02,1089.63
2015-06-03,1087.95
2015-06-04,1085.99
2015-06-05,1082.70
2015-06-08,1081.99
2015-06-09,1079.25
2015-06-10,1079.77
2015-06-11,1081.59
2015-06-12,1080.61
2015-06-15,1078.28
2015-06-16,1077.10
2015-06-17,1078.52
2015-06-18,1079.62
2015-06-19,1081.27
2015-06-22,1082.77
2015-06-23,1082.13
2015-06-24,1081.53
2015-06-25,1080.60
2015-06-26,1078.60
2015-06-29,1073.85
2015-06-30,1074.32
2015-07-01,1076.56
2015-07-02,1077.06
2015-07-03,1077.26
2015-07-06,1074.38
2015-07-07,1072.42
2015-07-08,1071.00
2015-07-09,1071.93
2015-07-10,1073.18
2015-07-13,1074.78
2015-07-14,1075.23
2015-07-15,1076.48
2015-07-16,1076.47
2015-07-17,1073.89
2015-07-20,1072.51
2015-07-21,1069.50
2015-07-22,1065.19
2015-07-23,1064.44
2015-07-24,1063.05
2015-07-27,1059.01
2015-07-28,1060.47
2015-07-29,1064.76
2015-07-30,1067.63
2015-07-31,1067.71
2015-08-03,1066.70
2015-08-04,1066.23
2015-08-05,1066.00
2015-08-06,1062.76
2015-08-07,1059.15
2015-08-10,1058.73
2015-08-11,1054.53
2015-08-12,1050.85
2015-08-13,1053.10
2015-08-14,1052.84
2015-08-17,1052.93
2015-08-18,1052.25
2015-08-19,1050.12
2015-08-20,1047.86
2015-08-21,1044.80
2015-08-24,1036.28
2015-08-25,1041.75
2015-08-26,1041.00
2015-08-27,1045.85
2015-08-28,1047.68
2015-08-31,1048.90
2015-09-01,1047.63
2015-09-02,1048.47
2015-09-03,1051.01
2015-09-04,1050.57
2015-09-07,1051.18
2015-09-08,1053.43
2015-09-09,1055.98
2015-09-10,1055.47
2015-09-11,1055.36
2015-09-14,1055.17
2015-09-15,1054.43
2015-09-16,1051.53
2015-09-17,1051.03
2015-09-18,1049.60
2015-09-21,1048.72
2015-09-22,1042.69
2015-09-23,1042.16
2015-09-24,1036.30
2015-09-25,1034.43
2015-09-28,1023.75
2015-09-29,1020.18
2015-09-30,1021.69
2015-10-01,1019.63
2015-10-02,1016.02
2015-10-05,1023.25
2015-10-06,1028.28
2015-10-07,1036.23
2015-10-08,1037.74
2015-10-09,1043.47
2015-10-12,1044.09
2015-10-13,1042.23
2015-10-14,1041.45
2015-10-15,1041.28
2015-10-16,1044.18
2015-10-19,1045.32
2015-10-20,1047.79
2015-10-21,1048.43
2015-10-22,1047.53
2015-10-23,1050.47
2015-10-26,1050.35
2015-10-27,1048.69
2015-10-28,1049.48
2015-10-29,1049.61
2015-10-30,1049.54
2015-10-31,1049.54
2015-11-02,1051.26
2015-11-03,1052.84
2015-11-04,1052.82
2015-11-05,1049.93
2015-11-06,1045.83
2015-11-09,1041.89
2015-11-10,1039.54
2015-11-11,1039.74
2015-11-12,1034.69
2015-11-13,1031.20
2015-11-16,1029.16
2015-11-17,1032.81
2015-11-18,1031.74
2015-11-19,1028.07
2015-11-20,1025.67
2015-11-23,1024.92
2015-11-24,1023.02
2015-11-25,1024.11
2015-11-26,1024.30
2015-11-27,1024.30
2015-11-30,1025.98
2015-12-01,1028.38
2015-12-02,1029.74
2015-12-03,1026.00
2015-12-04,1023.54
2015-12-07,1019.46
2015-12-08,1012.64
2015-12-09,1011.69
2015-12-10,1010.13
2015-12-11,999.22
2015-12-14,985.74
2015-12-15,993.76
2015-12-16,996.75
2015-12-17,996.35
2015-12-18,989.46
2015-12-21,989.03
2015-12-22,991.02
2015-12-23,994.75
2015-12-24,995.55
2015-12-28,996.33
2015-12-29,998.64
2015-12-30,999.08
2015-12-31,999.52
2016-01-04,996.27
2016-01-05,999.48
2016-01-06,999.47
2016-01-07,995.70
2016-01-08,996.79
2016-01-11,994.12
2016-01-12,992.33
2016-01-13,988.23
2016-01-14,982.62
2016-01-15,971.66
2016-01-18,972.28
2016-01-19,972.36
2016-01-20,958.59
2016-01-21,963.26
2016-01-22,972.74
2016-01-25,974.93
2016-01-26,976.16
2016-01-27,977.87
2016-01-28,980.28
2016-01-29,983.50
2016-01-31,983.71
2016-02-01,981.84
2016-02-02,976.90
2016-02-03,974.70
2016-02-04,975.80
2016-02-05,972.65
2016-02-08,960.75
2016-02-09,955.89
2016-02-10,958.85
2016-02-11,948.12
2016-02-12,953.44
2016-02-15,954.08
2016-02-16,958.72
2016-02-17,966.30
2016-02-18,970.35
2016-02-19,967.92
2016-02-22,972.82
2016-02-23,972.83
2016-02-24,970.25
2016-02-25,975.73
2016-02-26,982.65
2016-02-29,988.28
2016-03-01,996.56
2016-03-02,1002.74
2016-03-03,1005.98
2016-03-04,1013.00
2016-03-07,1016.26
2016-03-08,1015.32
2016-03-09,1013.50
2016-03-10,1016.81
2016-03-11,1024.68
2016-03-14,1027.39
2016-03-15,1024.15
2016-03-16,1022.89
2016-03-17,1029.42
2016-03-18,1035.49
2016-03-21,1037.17
2016-03-22,1036.00
2016-03-23,1034.50
2016-03-24,1028.35
2016-03-28,1027.48
2016-03-29,1024.35
2016-03-30,1029.36
2016-03-31,1031.97
2016-04-01,1031.84
2016-04-04,1033.67
2016-04-05,1031.06
2016-04-06,1034.47
2016-04-07,1033.81
2016-04-08,1036.63
2016-04-11,1038.94
2016-04-12,1042.69
2016-04-13,1049.91
2016-04-14,1052.77
2016-04-15,1053.00
2016-04-18,1053.10
2016-04-19,1059.78
2016-04-20,1064.32
2016-04-21,1065.13
2016-04-22,1064.87
2016-04-25,1063.94
2016-04-26,1065.58
2016-04-27,1068.68
2016-04-28,1073.39
2016-04-29,1072.96
2016-04-30,1073.20
2016-05-02,1073.46
2016-05-03,1069.68
2016-05-04,1067.39
2016-05-05,1067.14
2016-05-06,1063.64
2016-05-09,1063.42
2016-05-10,1065.79
2016-05-11,1068.84
2016-05-12,1069.38
2016-05-13,1068.56
2016-05-16,1071.02
2016-05-17,1072.44
2016-05-18,1072.24
2016-05-19,1067.96
2016-05-20,1071.09
2016-05-23,1072.23
2016-05-24,1074.98
2016-05-25,1078.02
2016-05-26,1079.42
2016-05-27,1079.58
2016-05-30,1080.18
2016-05-31,1080.95
2016-06-01,1078.80
2016-06-02,1080.07
2016-06-03,1081.37
2016-06-06,1085.45
2016-06-07,1089.43
2016-06-08,1093.80
2016-06-09,1093.69
2016-06-10,1090.82
2016-06-13,1088.44
2016-06-14,1082.66
2016-06-15,1084.39
2016-06-16,1079.69
2016-06-17,1082.92
2016-06-20,1090.47
2016-06-21,1090.08
2016-06-22,1092.7
2016-06-23,1096.35
2016-06-24,1084.37
2016-06-27,1078.12
2016-06-28,1081.06
2016-06-29,1089.28
2016-06-30,1092.66
2016-07-01,1096.84
2016-07-04,1097.46
2016-07-05,1098.19
2016-07-06,1098.14
2016-07-07,1102.77
2016-07-08,1108.32
2016-07-11,1115.46
2016-07-12,1121.69
2016-07-13,1118.94
2016-07-14,1121.68
2016-07-15,1121.39
2016-07-18,1121.63
2016-07-19,1121.9
2016-07-20,1123.34
2016-07-21,1124.41
2016-07-22,1124.66
2016-07-25,1124.91
2016-07-26,1122.7
2016-07-27,1122.2
2016-07-28,1121.03
2016-07-29,1120.05
2016-07-31,1120.26
2016-08-01,1119.73
2016-08-02,1117.51
2016-08-03,1118.14
2016-08-04,1122.52
2016-08-05,1126.16
2016-08-08,1129.03
2016-08-09,1132.99
2016-08-10,1133.83
2016-08-11,1134.28
2016-08-12,1135.34
2016-08-15,1137.82
2016-08-16,1139.49
2016-08-17,1139.79
2016-08-18,1140.97
2016-08-19,1141.13
2016-08-22,1141.53
2016-08-23,1143.33
2016-08-24,1143.74
2016-08-25,1143.46
2016-08-26,1144.11
2016-08-29,1144.87
2016-08-30,1145.96
2016-08-31,1145.22
2016-09-01,1144.54
2016-09-02,1145.37
2016-09-05,1145.99
2016-09-06,1147.75
2016-09-07,1148.76
2016-09-08,1149.36
2016-09-09,1144.93
